Date,Sentiment_Score,Tweet_Volume,Open,High,Low,Close,Log_Returns
2018-06-28 16:00:00,0.4939,1,5267.1,5273.13,5256.73,5258.96,0.0022260979178553466
2018-06-28 16:30:00,0.0,1,5258.86,5270.69,5250.22,5270.68,-0.0005655518361322196
2018-06-28 17:00:00,0.0,1,5270.12,5275.63,5262.6,5267.7,0.0015061643655638586
2018-06-28 17:30:00,-0.3753,2,5270.93,5275.65,5270.93,5275.64,0.013344012578497011
2018-06-29 09:00:00,0.0,0,5335.24,5351.71,5335.16,5346.51,0.00044131205030618746
2018-06-29 09:30:00,-0.4019,1,5346.41,5350.48,5343.27,5348.87,-0.00034405707199036846
2018-06-29 10:00:00,-0.11776666666666669,3,5348.16,5351.9,5343.52,5347.03,0.00036275243479332123
2018-06-29 10:30:00,0.41373333333333334,3,5346.76,5354.17,5344.56,5348.97,-0.0015678852481650612
2018-06-29 11:00:00,0.175075,3,5349.11,5349.11,5340.08,5340.59,2.2469175101226817e-05
2018-06-29 11:30:00,0.17,2,5340.52,5342.44,5336.21,5340.71,-0.0029064554977594457
2018-06-29 12:00:00,0.0,3,5342.04,5349.44,5325.21,5325.21,0.0010904420373256142
2018-06-29 12:30:00,0.0,1,5323.48,5341.03,5318.47,5331.02,0.0016418641466193482
2018-06-29 13:00:00,0.0,0,5331.33,5340.98,5329.22,5339.78,0.0007544280885252387
2018-06-29 13:30:00,0.0,0,5339.34,5346.29,5337.31,5343.81,-0.0008274674727045606
2018-06-29 14:00:00,0.1468,3,5343.65,5348.28,5336.77,5339.39,-0.002218066991993588
2018-06-29 14:30:00,0.0,0,5339.91,5339.92,5326.29,5327.56,0.0017478653117730502
2018-06-29 15:00:00,0.0,1,5326.63,5339.84,5326.62,5336.88,0.002475908887060186
2018-06-29 15:30:00,0.0,0,5337.25,5350.94,5337.25,5350.11,-0.0006338326613571168
2018-06-29 16:00:00,0.23343333333333335,3,5351.1,5357.96,5345.35,5346.72,0.00021132219513363067
2018-06-29 16:30:00,0.0,1,5346.5,5348.82,5341.19,5347.85,-0.0022670291889773106
2018-06-29 17:00:00,0.0,1,5347.88,5350.09,5333.97,5335.74,-0.002290964642112974
2018-06-29 17:30:00,0.0,2,5334.52,5334.73,5323.52,5323.53,-0.014320053774748445
2018-07-02 09:00:00,-0.4221,2,5264.4,5270.63,5242.64,5247.84,0.00346019460940405
2018-07-02 09:30:00,0.0,0,5248.1,5269.01,5245.68,5266.03,9.304489422867104e-05
2018-07-02 10:00:00,0.073,3,5266.41,5277.96,5266.35,5266.52,0.002266480122888351
2018-07-02 10:30:00,0.31245,2,5267.4,5278.77,5261.85,5278.47,-0.0020196682663128004
2018-07-02 11:00:00,0.0,1,5278.89,5283.09,5266.5,5267.82,-0.00027719291095243073
2018-07-02 11:30:00,0.1167875,5,5267.8,5270.9,5263.29,5266.36,-0.0007807298795884418
2018-07-02 12:00:00,-0.064,2,5266.5,5267.38,5256.35,5262.25,0.0034431604826527526
2018-07-02 12:30:00,-0.1366,2,5261.79,5283.73,5261.79,5280.4,0.0003616496184819534
2018-07-02 13:00:00,0.0,1,5280.19,5285.05,5278.49,5282.31,0.0007569578981920776
2018-07-02 13:30:00,-0.21989999999999998,3,5282.33,5286.34,5280.95,5286.31,-0.001243605859661754
2018-07-02 14:00:00,0.0,0,5286.27,5287.25,5277.89,5279.74,0.00046393036953334445
2018-07-02 14:30:00,0.0,1,5281.05,5287.0,5280.22,5282.19,-0.0002859071465018969
